id	qid1	qid2	question1	question2	is_duplicate	
353169	482176	482177	"Who is the Adam the lyrics to Blink-182's ""Adam's Song"" are written about?"	"Which Blink-182 band member wrote the lyrics to ""Adam's Song""?"	0	0	0.99499834
265252	153771	382192	What books should I read as an aspiring entrepreneur?	What are the top books an aspiring teen entrepreneur should read?	1	1	0.770459
373774	504625	504626	Why does a rainbow lorikeet make a good pet?	Can lorikeets be good pets? What are some ways to take good care of them?	0	0	0.739886
129859	67214	208516	Which sector (i.e. primary, secondary, tertiary) contributes the most to the GDP of India? Why?	What is my contribution to the GDP?	0	0	0.9772
304890	39242	54576	If universe is expanding without a limit and dark and vacuum energy are created as it expands…?	If universe can expand without limit and it creates dark/vacuum/gravitational energy with it,then is the potential energy infinite?	1	0	0.60510886
32107	59140	59141	How is India preparing for war against Pakistan?	Is India preparing for a war?	0	1	0.937713
269372	173861	387069	Why we do study computer fundamental in software engineering.?	Do we get to chose only one computer language when we are studying engineering?	0	0	0.6210476
347386	475855	475856	What is the smartest question besides this question?	What are the smartest questions that you have heard?	0	1	0.53401524
335814	77423	463097	What is a good text editor?	What are the best text editor plugins?	0	0	0.67946583
318243	443562	443563	What people who you've never met have influenced your life the most?	Who are people you have never met who have had the greatest influence on your life?	1	0	0.8793554
138817	220972	220973	How much weed did Bob Marley smoke a day?	How much weed should you smoke?	0	0	0.7631841
323689	295914	442083	What is the next number of this sequence? 5…..17……37…..89…..??	What is the next number in the sequence?	0	0	0.9348011
158760	141947	247963	Which website is good for downloading Android (.apk) files?	Android Application Development: Which software is used to develop APK files?	0	0	0.9911675
304986	10160	45457	Are vacuum fluctuations occuring because the energy in vacuum? Are these virtual particles?	Do virtual particles and energy in vacuum really exist? Can we observe them? Where? When?	1	1	0.88746524
257603	372960	372961	How do I find my Publication ID on Medium?	Still not understanding Qoura?	0	0	0.9920298
331712	458630	335031	How could an HIV-positive person have children?	Would you marry an HIV positive person?	0	0	0.7167237
367991	498328	498329	I'm going to be US President one day. What should I start doing now to achieve this?	I'm 16 and I want to become the US president someday. What should I start doing?	1	1	0.9157472
364955	19892	12515	Why MS Dhoni leave captaincy of ODI & T-20?	Why does M.S Dhoni left captaincy for ODI and T20?	1	0	0.9896017
60571	105902	23891	are aliens real or are they fake ?	Do aliens exists?	1	1	0.67867243
41265	11269	18273	Where can I buy special flavor cupcake at Gold Coast?	Where can I found different flavours for cupcakes at Gold Coast?	1	1	0.8910478
14474	27716	27717	Does marijuana cause cancer?	How can smoking marijuana give you lung cancer?	1	0	0.61886203
85724	144679	144680	How do I apply for jobs as an international student in the united states?	Proteus software Infrared Light Sensors Microcontrollers +1 How can I simulate an IR sensor using Proteus software?	0	0	0.99323624
95442	159171	159172	What are the procedures for becoming an actuary?	What is the procedure of becoming an actuary?	1	0	0.8060116
386157	179497	213763	What are some tips on making it through the job interview process at Access National?	What are some tips on making it through the job interview process at eBay?	0	0	0.9667268
315852	440802	440803	How do I find out what operating system I have on my Macbook?	How do I find out what operating system I have?	0	0	0.7821416
50659	21970	59166	How do smart and successful people control their emotions?	How can I control my emotions?	1	1	0.73106366
399434	394215	532702	Can eating only fruit for dinner lead to weight loss?	Does eating dinner earlier in the evening help with weight loss?	0	1	0.56358576
43789	78719	78720	How do I buy used car in India?	Which used car should I buy in India?	0	0	0.82015294
401816	535258	535259	Can i use mods in ps2 games like Gta San Andreass and others ?	Nintendo 3DS: Can I just copy the downloaded games to another, bigger SD card for use in the same console?	0	0	0.99616194
371061	209694	132173	What is the difference between the House of Representatives and the Senate?	If both senators represent the whole state, then which senator do I get to vote for? What determines this?	0	0	0.9180565
378358	503981	491676	What are the best tips for outlining/planning a novel?	How do I best outline my novel?	1	0	0.5994041
73586	126263	126264	What's the easiest way to make money online from India?	What is the best way to make money in india?	0	1	0.9095443
367812	6740	116988	What will happen if Donald Trump became the president of America?	What will happen now that President-elect Donald Trump has won the election?	1	1	0.98957586
150653	237070	237071	What's the best way to increase agricultural productivity?	I own an innovative advertising & marketing company operating for over 1 year & I am looking for an investor or financier partner to help expand fast?	0	0	0.990743
378199	509579	509580	What is the value of [math]\displaystyle\int_{0}^{\infty} \dfrac{x}{x^2+a^2}\,dx [/math]?	What is the value of [math]\displaystyle\int_{-1}^1 \frac{\sqrt{1-x^2}}{a-x} \, dx[/math] where [math]a > 1[/math]?	0	0	0.99961555
362659	492579	492580	What is it like to study in Llandudno?	Ford Figo 2016 or Grand i10 petrol 1.2 only?	0	0	0.7244313
191571	81775	290958	Why don't people just shoot Captain America below the shield?	Why did everyone have issue accepting Sam Wilson as the new Captain America, no one had an issue when Bucky took up the shield?	0	0	0.9290352
298365	420847	420848	Is PlatePlay available in Barcelona?	Wher is Barcelona?	0	0	0.99356765
51563	91439	91440	How do I increase sperms in my body?	Does the quantity of blood in our body increase as we grow?	0	0	0.69159365
259412	78209	375169	When you get a love spell done do you feel drained and tired?	What do Quorans think of that moment when you finally get a notification and when you open it, it's Quora correcting your spelling mistakes?	0	1	0.6439147
64533	112128	112129	What do other countries think of Bosnia and Herzegovina?	Why are Bosnia and Herzegovina one country?	0	0	0.60127944
345794	474126	474127	What is one of the biggest misconceptions people have about you?	What do you perceive to be the biggest misconception people have about you? Why do you think this misconception exists?	1	1	0.8417291
253749	368342	368343	Will overstaying my visit visa with 3 months affect my spouse visa application?	Will overstaying my UK visit visa with 3 months affect my UK spouse visa application?	0	0	0.5495125
211703	20175	316608	How can you find all of your Gmail accounts?	How do I resolve Gmail account issues?	0	1	0.86263704
382469	320861	514328	"What are the best slogans based on the theme ""United India"" or ""राष्ट्रीय एकता""?"	What are some of the best slogans written on trucks in India?	0	0	0.9989048
278706	398021	398022	What is the best order to read the Ender saga in?	What year is Ender's Game (2013 movie) set in?	0	0	0.92003876
242707	354968	354969	What is the average BPM for these genres of music?	Can we consider musicals a popular music genre?	0	0	0.923036
171128	264477	264478	Which laptop would be better to buy now an i5 6200U with AMD R5 M330 or an i5 5200U with AMD R5 M230?	Which laptop would be better the one with i5 5200U and AMD R5 M330 2GB or i5 5200U with Nvidia 820M 2GB?	0	0	0.9957645
308113	2662	267591	Are Rolls-Royce cars given only to reputed personalities?	What is the criteria to buy a Rolls-Royce?	0	0	0.85217345
262515	345707	378874	Whose Economy is in better shape in 2016: Pakistan or Bangladesh?	Does Pakistan hate Bangladesh?	0	0	0.9850397
245044	357801	357802	Steel: Which is the best industrial wire products manufacturing company in India?	What is the steel production capacity of top 10 steel manufacturers individually in India?	0	0	0.7687972
166665	102176	154431	Why are people evil?	Why are some people evil? Are they born that way or does life make them evil?	0	0	0.79209167
194023	294105	294106	Why didn't Ned Stark bring more men to the Tower of Joy?	Why did Ned Stark go to the Tower of Joy with so few men? Why not bring a small guard (say 20 more men) of loyal and discreet northerners?	1	0	0.975715
312159	291358	30722	What is the meaning of nani desu ka?	What is the meaning of life?	0	0	0.979487
366663	363449	362186	How can I introduce the surface area of cuboid by using real life situations?	What are the applications of surface area in real life?	1	0	0.9336239
154274	241975	241976	What cheese skins can you eat?	Why don't Americans eat the skin of a banana?	0	0	0.9009903
365334	33635	203980	How do you get better grades?	How can I dramatically improve my grades?	1	1	0.9594956
176397	174047	271403	What is the most efficient way of studying to score a 700 on the GMAT?	How do I score above 700 in GMAT? I have been preparing since two months and lately scored only 460 and I have been studying 6 hours everyday?	0	0	0.99391526
182612	81134	64454	What is a good solar panel installation provider near Lemon Cove, California CA?	What is a good solar panel installation provider near Angels Camp, California CA?	0	0	0.9960951
11119	21496	21497	Who is your favorite Prison Break character?	Who is the best looking actor in Prison Break?	0	0	0.8129576
71007	122269	122270	How many time can one attempt for JEE Main in one year?	How many times can I give the JEE Mains?	0	0	0.986316
251260	365331	365332	FtM: How much of an effect did Testosterone have on your mental/emotional health when you started HRT?	What are examples of mental and emotional health?	0	0	0.98136055
32945	60591	60592	Which is the best way to pass the 74-322 exam?	What is the best way to prepare for the 74-674 exam?	0	0	0.9628188
100191	166234	166235	What is operational research?	What is operations research?	1	0	0.65103006
364973	23639	52522	What is your new year resolution, short term and long term goal for 2017?	What will be your New Year's resolution for 2017?	1	1	0.69888
401695	100945	169811	Is WIMPs incorrect? Will wave-particle duality ever be understood to be a particle and its associated wave in the strongly interacting dark matter?	Would Einstein and de Broglie have realized a strongly interacting dark matter is the medium for gravitational and wave-particle duality waves?	1	1	0.7962951
36346	66283	66284	Will NeoBux (PTC site) last?	What is an overall rented referral clicks average on Neobux?	0	0	0.84188044
112332	183817	183818	Where can I get a consistent high quality service for commercial cleaning in Bangalore?	What are the lowest fee universities for ms in australia?	0	0	0.98270917
330051	456768	456769	What are the most common ways people get rich in Singapore apart from inherited wealth and winning the lottery?	Wealth Creation: What are the most common ways to work only four days a week?	0	0	0.95009035
23143	29808	43385	What will happen to the next Star Wars movies after Carrie Fisher's death?	What will Carrie Fisher's death mean for the next Star Wars movies?	1	1	0.9068676
65630	113868	69339	What is the weirdest thing about you? Are you proud of it?	What is the weirdest thing about you?	0	1	0.6266833
7276	14219	14220	Which kind of fit can we say of pen and their opener (cap)?	How do I scale/fit a tablet pen to a canvas?	0	0	0.9914324
191888	107522	291369	Which searching technique is suitable for an ordered linked list and why?	Suggest me an laptop which is suitable for little gaming and engineering also durable at an budget upto 57k?	0	0	0.99782157
317343	442532	442533	Design a server architecture for serving Google maps images?	Why is Austria not part of Google Street View?	0	0	0.9964947
6027	11821	11822	How do I know Jesus is talking to me?	How do you know Jesus is the only way to heaven?	0	1	0.7104848
102638	65724	169798	Can women reach an orgasm from anal sex?	How common is it for a man to be able to reach orgasm from vaginal sex but not oral sex?	0	0	0.96731615
214312	319855	319856	What is an analogy for a smooth ER?	What is an analogy for smooth ER?	1	0	0.88056195
343204	471287	241114	How much does it take to put an ad on tv in india?	What are the master stroke in Indian politics?	0	0	0.76385206
212658	317789	317790	I love programming, but I get bored quickly. How do I have fun while programming?	I want to learn advanced Java. What are some suggestions for some free online advanced Java course providers or free advanced Java tutorials?	0	1	0.53908056
19040	36018	36019	What is the market size of live chat support software?	What's the size of the live chat industry globally?	1	0	0.611155
5116	10081	10082	Your girlfriend/wife refused to have an abortion, so you leave and she raises the child. How do you feel about being a deadbeat dad?	What are places where boys like to be touched by a girl?	0	0	0.98625237
199004	34796	300359	What makes Axl Rose's voice unique?	Is Axl Rose gay?	0	0	0.7788585
372819	503567	503568	Who was a better offensive tackle - Jim Parker or Anthony Munoz?	What skills does a QB need for pro-style offense vs typical college offense? Why is it different from college play? How hard is it for a QB to adapt? 	0	0	0.9001759
317960	443243	443244	Whom did you target as audience for the initial TED talks?	How do I target B2B audience in LinkedIn?	0	0	0.7884227
135267	216059	7476	What is the meaning of stonerindia?	What is the meaning of meaning?	0	0	0.9330735
210557	315145	315146	How did you learn another language?	Why shouldn't you learn another language?	0	1	0.6855456
45340	81270	81271	Does sharing my location still work if my phone is turned off?	How do I find my phone when turned off?	0	0	0.6105119
258389	373948	373949	How do I update my graphics drivers?	How do you update the graphics driver on your computer?	0	0	0.5370678
277627	112326	396758	What is the best business to start in Bangalore?	What is the best business in Bangalore to start up with?	1	0	0.55956507
212003	84064	316974	Is it possible to have a cashless economy in a country like India?	"What is the scholarship amount of the ""Global Ph.D. Student Fellowship"" at the New York University Abu Dhabi?"	0	0	0.96501
255551	32819	370469	How do you attract parents of preschool children online?	How do you attract parents of preschool children to your website?	0	1	0.5309963
117962	191836	191837	In Windows 10, how do you change file association back to unknown program?	How do you go from Windows Insider Program Back to Windows 10?	0	0	0.99493176
356359	485676	353577	Why do girls date abusive jerks?	Why do women like jerks?	0	1	0.8402413
315926	440884	440885	How should one deal with their own aggressions?	How do I deal with an aggressive father?	0	0	0.81984955
396821	529918	529919	When and how did you become an atheist?	When did you become an atheist?	1	0	0.71755373
304335	427580	427581	Why do most websites load slow and some dont even load when using 5ghz wifi? The internet speed is not the problem:	My wifi speed is being listed as 80 - 100 Mbps and it takes 20 seconds to fully load the front page of YouTube. Is this normal?	0	0	0.99835926
76651	6579	20701	Why does gst bill is important?	What is the effect of GST bill on a common man?	1	0	0.5904121
213773	319189	319190	What strikes first time visitors as special or unusual when they arrive in Colorado Springs, CO?	What are the supports for women entrepreneurs from Indian Government?	0	0	0.9947725
332468	459464	459465	Which aircraft was superior - the Douglas DC8 or the Boeing 707?	Was the Douglas DC8 a superior aircraft to the Boeing 707?	1	0	0.9988701
80648	137070	30137	How can I expand my IQ?	What can I do to increase my IQ?	1	1	0.8799483
232160	342130	342131	What does it mean when a girl take a day to reply to your text?	What does it mean when girls reply to a text a day after?	1	0	0.85999626
373052	503815	503816	Did Mughal ruler Shah Jahan, who is said to have built the Taj Mahal, marry Mumtaz Mahal after killing her first husband?	I am missing my first husband a lot after marrying to my second husband, how can I overcome this?	0	0	0.97090954
339634	6760	39229	How can I stop myself from watching too much of porn?	How shall I stop watching porn?	1	0	0.85779816
20500	38669	38670	How do I cure kidney stones?	How do I get relefe from kidney stone pain?	0	1	0.96684587
329721	9754	1779	What will be the effect of banning 500 and 1000 Rs notes on real estate sector in India? Can we expect sharp fall in prices in short/long term?	What will the real estate look like now after the 500 and 1000 scraping?	1	1	0.7804696
6708	13132	13133	How do I unlock my Yahoo Mail account?	How do you disable a Yahoo account?	0	1	0.6143327
28846	53442	53443	Music: How do I download MP3 songs for free from the internet?	Which are the websites that provide free MP3 Music downloads?	0	0	0.94918686
17849	33858	33859	Is it worth it to pay for PhD from my pocket?	Is it foolish to pay for your PhD out of your own pocket?	1	0	0.7652258
222621	330229	330230	What is the maximum file size that can be uploaded in Whatsapp?	What is the maximum file size on WhatsApp?	1	0	0.9834699
345036	160021	237329	What are the best ways to learn to cook?	How do I learn to cook?	1	1	0.6305311
266036	383138	383139	How will Indian aspirants to go to the US for a masters, be affected under a Trump presidency?	How safe it is for Indians to migrate to the US after Trump becoming the president?	0	1	0.75093234
242300	354488	354489	Which sentence is correct ？and why?	Which sentence is correct?	0	0	0.9798891
302804	425835	425836	Two trained 6ft fighters . One 170 pounds and the other 200 pounds . Will the heavier fighter come out on top? Why?	Write a C program to read a line and print it reverse using recursive function?	0	0	0.9979012
89968	22785	151058	What is JIRA used for?	What is the best way to use Basecamp and Jira together?	0	0	0.91971296
370610	501177	501178	If I'm passionate about marketing and self development, should I make two separate blogs or one?	Personal Branding: Is it better to have one blog for two interests, or two separate blogs?	0	0	0.93765956
111342	182406	182407	Can a F1 student visa holder become a Uber driver in USA?	Can I drive for Uber with my H1-B work visa or F1 student visa in the US?	1	0	0.8770852
179495	165616	275412	What was first word spoken by human?	What is the first word ever spoken?	1	0	0.7851307
233977	344357	344358	What is labour?	What is labour business?	0	0	0.8118864
245364	44714	358201	Is it healthy for dogs to eat bones?	Is it safe to feed my dog cooked ham bones?	0	0	0.96645266
147047	171127	232148	Who was started Social Media war between Indian and Pakistani?	Why do Indians who purchase DSLRs start posting heavily edited pics with watermarks on social media?	0	1	0.7073876
54343	95950	95951	Should I give my JEE Main exam offline or online?	Which mode is best for JEE MAIN 2017 online exam or offline?	1	0	0.6824288
313668	301553	438284	What is the most foolish thing you did as a kid?	What is the most intelligent thing a kid has ever said to you?	0	0	0.83594763
41504	74922	74923	How far can a person walk in a day?	How far can a man walk in a day without talking any kind of food?	0	0	0.8251983
249379	55086	6994	How do men last longer in bed?	How do I last longer in sex?	1	1	0.74168485
175784	270595	270596	Is literally infinite number of unique human DNAs possible?	What is the maximum number of genetically unique individuals that human genome allows?	1	0	0.820207
172563	165461	87664	What is motive of Mulayam Singh Yadav behind expelling Akhilesh Yadav from Samajwadi party?	Why did Mulayam Singh Yadav expel Akhilesh Yadav from the Samajwadi Party for 6 years?	1	0	0.98219395
329523	2675	10437	What do you think of the decision by the Indian Government to demonetize 500 and 1000 rupee notes?	Why is the government abruptly banning the 500 Rupees and the 1000 rupees currency notes in India?	1	1	0.99543697
75730	129555	129556	Jim Morrison: What is so great about Jim Morrison?	What are some rare facts about Jim Morrison?	1	0	0.8902163
272506	390800	390801	Why do we need to philosophize?	Why do we need to philosophize with others?	1	1	0.618573
38574	70036	70037	Rajya Sabha Television: What does banging benches in parliament mean, acceptance or dissent?	Why is Rajya Sabha called the upper house of the Parliament?	0	0	0.77653337
362269	492178	130770	Is India a soft nation in terms of its foreign relations?	Can I register my marriage to a foreign national in India?	0	0	0.57442456
371322	501937	169064	Is Jesus the only way to God?	Do Christians believe that Jesus is the only way to reach God?	0	0	0.5545772
139567	222005	222006	Does sperm count decreases due to masturbation?	Do sperm count decreases after masturbating?	1	1	0.88678664
112009	11308	4406	Is there any way to recover e-mails that were deleted from a Gmail account?	Is there anyway to retrieve my deleted emails from my Gmail account?	1	0	0.5556416
161884	252134	252135	Is universal health care good? Why or why not?	Should the U.S. implement a universal health care? Why or why not?	1	1	0.6386174
103355	170850	170851	What are the 3 types of NoSql databases?	What are the main differences between the four types of NoSql databases (KeyValue Store, Column-Oriented Store, Document-Oriented, Graph Database)?	0	0	0.99600714
376876	508088	144640	Does laser light have mass?	Why does light have no mass?	0	1	0.96507716
258854	374523	374524	Do I have to cook tasajo right away or can I store it in the fridge or freezer?	How can we store milk without a fridge at room temperature?	0	0	0.9847268
357143	486536	486537	Did this girl take advantage of me at homecoming?	How do I can get jio sim for my redmi note 3 I have the coupon code but the jio guys asking me to show the phone on which I have got the code?	0	1	0.5353811
128241	64775	206287	What is the best way to move to another country?	How do I move to a country with another language?	0	1	0.7454521
316798	441911	441912	What is a solenoid valve?	How does a solenoid valve work?	0	0	0.86691505
36924	67264	67265	Is it safe to pick up an Australian Huntsman spider?	Is the Huntsman spider common in United States?	0	1	0.7638979
356150	485425	485426	"How can I download the following book""""Microprocessors & Interfacing: Programming & Hardware, Douglas V. Hall, Tata McGraw Hill""?"	How do I download CBSC books?	0	0	0.99354255
135223	215997	215998	Why collision is an issue in a random access but not in controlled access?	How zippers works?	0	0	0.9953721
183771	280931	280932	What do doctors do to stop arterial bleeding in the wrist and how do they deal with self harming cases?	A trailer about me comes up on my friends phone when I call?	0	0	0.7878372
284085	404268	404269	Does anybody do an initiation at Kriya yoga?	What is Kriya Yoga?	0	0	0.9977811
289889	40458	20175	How do I find my own gmail accounts list?	How can you find all of your Gmail accounts?	1	1	0.8486412
21815	41021	41022	What kinds of body types do men prefer in women?	Out of two beautiful women, are men more attracted to the woman with the more curvaceous body?	0	0	0.9884801
228586	337692	337693	How do I fix a 0xc0000142 error (game application) in Windows 8?	"How do I solve: ""the application was unable to start correctly 0xc0000142 for pes 2015 in windows 7 64bit""?"	0	0	0.99864143
67876	117397	117398	Which books are the best for all the government exams?	Which book is best for NID exam?	0	1	0.78506804
140589	92806	223394	Where can I get sparkling and well maintained cleaning service in Sydney?	Where can I get cleaning services in Sydney?	1	0	0.75101
347772	137997	476265	Who are the 7 Chiranjiv (like Aswathama)?	What exactly Aswathama said to Duryodhana after he killed Upapandavas?	0	0	0.9939978
32263	59411	59412	What is the force of gravity between the Sun and Earth?	What if gravity between sun and earth is removed?	0	1	0.696379
181477	278001	278002	What are some tips and tricks in QlikView which are unknown by most?	What are some cool WhatsApp tricks?	0	0	0.87576723
17796	33764	33765	Which is the best and most reliable Chinese smartphone manufacturing company: Xiaomi, Huawei, Oneplus, Vivo, Gionee, Meizu, Oppo, ZTE, Alcatel, Coolpad or Lenovo?	Are Coolpad phones reliable like Lenovo or Xiaomi?	0	0	0.87543416
385164	517271	517272	Can Fast and Furious 7 gross $1 billion worldwide?	Will Furious 7 be the first movie in the franchise to gross a billion dollars?	1	0	0.9041136
42941	77311	77312	Do cruise missiles really exist, or are they a hoax?	Do cruise missiles exist?	1	1	0.80139554
276691	65746	395675	Which is the best book for learning language c++?	What is a good book for learning the basics of C++ programming?	1	1	0.65954095
248214	24580	39697	How can I increase the traffic on my website without investing?	How to increase my website Traffic?	1	1	0.95355314
242837	355135	355136	Do most South Americans support Brazil or Argentina's people?	"What do South Americans such as Brazilian or Venezuelan mean by they are ""a warm people""?"	0	0	0.8507117
56824	99965	99966	What will be Barack Obama's legacy?	Based on what we know now, what will Barack Obama's historical legacy be?	1	1	0.948944
259249	46040	408	Why do so many people hate Hilary Clinton?	What are the reasons that people dislike Hillary Clinton?	1	1	0.84962493
303864	427066	427067	When I turn my head I get a sharp pain in my upper back—what can I do about it?	Why do I feel a sudden sharp pain in my right chest?	0	0	0.7723185
388887	176738	135379	What was the happiest day of your life?	What’s the happiest day of your life? Why?	1	1	0.74922127
326407	24555	24778	How do l see who viewed my videos on Instagram?	How can I see who viewed my video on Instagram but didn't like my video?	1	1	0.83217996
61866	16627	100985	Why is that the sky is so blue?	Why is the sky is blue?	1	1	0.5071502
377731	360174	303375	Why not remove nail polish? Why wear chipped?	How do you remove nail polish?	0	0	0.68780136
168705	98684	207066	What is your review of www.abundancestockadvisors.com?	What are some reviews of www.allgenericmedicine.com?	0	0	0.9474849
329006	146963	47256	What does Quora mean?	Does Quora stand for QUestion OR Answer?	1	0	0.8521537
287643	199417	344722	How can I learn English well in a short time?	How can I learn English in a short time?	1	1	0.76759005
266309	383465	383466	Which Indian states have lowest inflation or cost of living?	Is there a ranking of Indian states by cost of land?	0	0	0.55308676
28710	53212	53213	Question That Contains Assumptions: Why do people think NYC is the greatest city in the world when it's really a rat-infested cesspool of noise and self-serving type A personalities all trying to outwork one another?	What are the pros and cons of living in your city?	0	0	0.9701808
58467	102561	49412	What should I do to make life worth living?	What makes life worth living?	1	1	0.91233563
357213	10859	16490	How can I specifically improve my English?	How do I learn spoken English?	1	1	0.9583984
343854	209936	163196	How does a pussy taste?	What does pussy smell like?	0	0	0.63351816
327343	453762	178933	Which college is the best in trivandrum for electrical engineering?	Which are the best colleges for electrical engineering?	0	0	0.9478347
72939	125238	125239	What language is this?	What language is this in?	0	0	0.87846684
169422	262194	262195	Is it normal to fear the future at 19?	Is it normal to have a fear of the future?	0	0	0.6216117
161642	34285	109191	What is the property tax rate in Granville, Ohio? How is it compared to the one of Massachusetts?	What is the property tax rate in Granville, Ohio? How is it compared to the one of California?	0	0	0.9918332
262413	322765	146281	Who is the best player in nba in 2016?	Who is the best player in the NBA in 2013?	0	0	0.9919069
194358	294547	17663	How can I stop eating junk and processed food addiction and stay healthy?	How do I stop my cravings for junk food?	1	1	0.8116208
134978	2322	11397	What can I do to improve my English speaking?	How can I improve in English?	1	1	0.97570056
202471	304778	304779	Can you give some innovative ideas for embedded projects?	What are some innovative ideas for research based project?	0	0	0.8788081
339471	68943	467133	How does masturbation affect one's concentrating power?	Can pus on tonsils be a sign of an STD?	0	0	0.9366956
258709	374335	374336	How can we eradicate corruption?	How can people’s participation eradicate corruption?	1	1	0.7556336
376786	56436	90808	What are the movies one should see?	What are the greatest movies I have to see?	1	1	0.58276457
345126	473415	473416	Are girls intimidated by attractive guys?	What are the chances of finding a hot girl in an IIT?	0	0	0.8916768
197277	131570	233124	How can you open a .z01 file?	How do I open a .opf file?	0	0	0.9472417
137025	218475	177899	What do I do if I forgot my Apple ID and email?	I forgot my Apple ID and Password, what should I do?	0	1	0.8957587
370058	395763	295849	What is an accurate way to calculate your IQ?	What's the most accurate way to test my IQ?	1	0	0.70999014
349421	20620	478058	"Which is correct: ""bare in mind"" or ""bear in mind""?"	How can I speak whatever I have in my mind?	0	0	0.9987923
163651	247955	251906	Why do we let the pants live by OUR blood, sweat and tears in OUR Europe, Russia and North America because they call it THEIR religion and ethnicity?	Is your job supposed to define you and make you happy? Or should we just care about how much money we're making because the world judges us by how much we have in our pockets?	0	0	0.98213345
267085	4039	20190	Is our PM Modi doing the correct thing with 500 and 1000 Rs notes?	What do you think about ban on Rs. 500 and Rs. 1000 currency notes?	1	1	0.9970907
311473	39514	59971	What is TQWL in Indian railways?	How safe is Indian railways in 2016?	0	0	0.8607145
305126	201651	416680	Is it possible to choose your dreams?	How can I manipulate my dreams?	1	1	0.85591716
11561	22318	22319	What does it mean to you to be a designer?	What does design mean to you?	0	0	0.56794024
371320	501934	87672	"""How to jailbreak my iPhone 5 ?"""	Should I jailbreak my iPhone 6?	0	0	0.9531597
402336	129404	535808	What does it feel like to be eaten alive by a Microraptor?	What does it feel like to be eaten alive by a Ornithischia?	0	0	0.9859542
